trial,stage,status,snr_db,eye_height_mv,eye_width_ps,ber,tx_level,eq_gain,pre_emphasis
178,medium,PASS,12.549,228.6,43.0,0.0,148,8,1
179,medium,PASS,15.243,276.1,54.2,0.0,148,8,2
180,medium,PASS,16.026,290.0,56.0,0.0,148,8,3
181,medium,PASS,11.138,205.1,40.0,0.0154,148,10,1
182,medium,PASS,13.944,252.3,48.2,0.0,148,10,2
183,medium,PASS,14.745,267.2,50.5,0.0,148,10,3
184,medium,PASS,11.599,204.5,38.9,0.0024,160,6,1
185,medium,PASS,14.029,248.0,49.6,0.0,160,6,2
186,medium,PASS,15.023,268.0,51.8,0.0,160,6,3
187,medium,PASS,12.771,229.9,44.2,0.0,160,8,1
188,medium,PASS,16.347,296.7,56.9,0.0,160,8,3
189,medium,PASS,11.432,205.2,41.4,0.0052,160,10,1
190,medium,PASS,14.036,256.9,48.8,0.0,160,10,2
191,medium,PASS,15.098,269.0,53.2,0.0,160,10,3
192,medium,PASS,11.67,207.0,40.3,0.0017,172,6,1
193,medium,PASS,14.024,253.7,48.6,0.0,172,6,2
194,medium,PASS,15.092,270.7,54.6,0.0,172,6,3
195,medium,PASS,13.088,236.6,44.7,0.0,172,8,1
196,medium,PASS,15.674,283.6,54.7,0.0,172,8,2
197,medium,PASS,16.297,301.0,57.8,0.0,172,8,3
198,medium,PASS,11.545,204.2,40.4,0.0032,172,10,1
199,medium,PASS,13.996,255.7,48.3,0.0,172,10,2
200,medium,PASS,15.031,270.3,51.6,0.0,172,10,3
201,medium,PASS,11.31,209.2,40.3,0.0085,180,6,1
202,medium,PASS,14.285,253.8,51.2,0.0,180,6,2
203,medium,PASS,15.32,272.5,53.8,0.0,180,6,3
204,medium,PASS,12.87,240.4,43.3,0.0,180,8,1
205,medium,PASS,15.489,278.1,53.7,0.0,180,8,2
206,medium,PASS,16.385,302.1,55.9,0.0,180,8,3
207,medium,PASS,11.749,207.9,40.9,0.0011,180,10,1
208,medium,PASS,14.261,253.6,49.4,0.0,180,10,2
209,medium,PASS,15.134,272.0,52.6,0.0,180,10,3
210,medium,PASS,11.646,207.9,41.0,0.0019,192,6,1
211,medium,PASS,14.002,258.7,49.3,0.0,192,6,2
212,medium,PASS,14.943,264.9,52.1,0.0,192,6,3
213,medium,PASS,12.934,234.2,46.4,0.0,192,8,1
214,medium,PASS,16.434,292.4,56.2,0.0,192,8,3
215,medium,PASS,11.532,209.4,40.3,0.0034,192,10,1
216,medium,PASS,14.247,256.0,49.1,0.0,192,10,2
217,medium,PASS,15.261,269.4,51.5,0.0,192,10,3
218,medium,PASS,11.25,205.6,40.4,0.0106,204,6,1
219,medium,PASS,14.166,249.9,49.0,0.0,204,6,2
220,medium,PASS,15.088,264.7,52.4,0.0,204,6,3
221,medium,PASS,12.574,223.2,45.5,0.0,204,8,1
222,medium,PASS,15.397,273.2,54.1,0.0,204,8,2
223,medium,PASS,16.289,302.3,57.7,0.0,204,8,3
224,medium,PASS,11.298,201.7,39.8,0.0089,204,10,1
225,medium,PASS,14.292,250.4,50.0,0.0,204,10,2
226,medium,PASS,14.807,271.9,49.8,0.0,204,10,3
227,medium,PASS,14.158,250.0,50.3,0.0,180,6,4
228,medium,PASS,11.175,200.1,40.7,0.0137,180,6,5
229,medium,PASS,15.422,283.2,54.5,0.0,180,8,4
230,medium,PASS,12.992,232.6,44.5,0.0,180,8,5
231,medium,PASS,14.214,247.9,50.5,0.0,180,10,4
232,medium,PASS,11.658,207.9,40.2,0.0018,180,10,5
233,medium,PASS,13.801,257.2,48.6,0.0,192,6,4
234,medium,PASS,11.529,207.4,41.2,0.0034,192,6,5
235,medium,PASS,12.707,231.0,43.3,0.0,192,8,5
236,medium,PASS,14.185,250.1,47.8,0.0,192,10,4
237,medium,PASS,11.433,207.3,40.2,0.0052,192,10,5
238,medium,PASS,13.977,260.5,48.9,0.0,204,6,4
239,medium,PASS,11.316,208.7,41.6,0.0084,204,6,5
240,medium,PASS,15.589,275.3,52.5,0.0,204,8,4
241,medium,PASS,12.588,231.3,44.8,0.0,204,8,5
242,medium,PASS,13.971,254.2,48.2,0.0,204,10,4
243,medium,PASS,11.367,208.2,41.5,0.0069,204,10,5
244,medium,PASS,13.752,247.1,49.8,0.0,148,6,4
245,medium,PASS,11.35,201.8,39.9,0.0073,148,6,5
246,medium,PASS,15.483,274.4,54.5,0.0,148,8,4
247,medium,PASS,12.573,227.9,43.9,0.0,148,8,5
248,medium,PASS,14.072,247.5,47.1,0.0,148,10,4
249,medium,PASS,11.032,203.4,38.4,0.021,148,10,5
250,medium,PASS,14.044,250.7,48.7,0.0,160,6,4
251,medium,PASS,11.385,205.8,38.9,0.0064,160,6,5
252,medium,PASS,12.627,231.2,44.7,0.0,160,8,5
253,medium,PASS,14.083,257.0,48.8,0.0,160,10,4
254,medium,PASS,11.244,200.9,38.7,0.0109,160,10,5
255,medium,PASS,14.086,258.3,49.3,0.0,172,6,4
256,medium,PASS,11.633,204.0,40.1,0.002,172,6,5
257,medium,PASS,15.582,274.2,53.6,0.0,172,8,4
258,medium,PASS,12.751,225.6,45.3,0.0,172,8,5
259,medium,PASS,14.037,253.0,47.5,0.0,172,10,4
260,medium,PASS,11.734,201.7,41.6,0.0012,172,10,5
261,medium,PASS,14.813,261.8,53.3,0.0,212,6,3
262,medium,PASS,14.044,247.9,48.0,0.0,212,6,4
263,medium,PASS,11.176,207.1,38.2,0.0136,212,6,5
264,medium,PASS,16.421,298.8,57.6,0.0,212,8,3
265,medium,PASS,15.28,274.2,54.9,0.0,212,8,4
266,medium,PASS,12.553,221.0,43.6,0.0,212,8,5
267,medium,PASS,14.961,272.2,52.8,0.0,212,10,3
268,medium,PASS,13.995,251.2,48.6,0.0,212,10,4
269,medium,PASS,11.225,204.4,40.8,0.0116,212,10,5
270,medium,PASS,14.52,261.9,51.1,0.0,224,6,3
271,medium,PASS,13.572,242.2,46.7,0.0,224,6,4
272,medium,PASS,10.997,194.6,37.7,0.0232,224,6,5
273,medium,PASS,16.125,291.3,56.2,0.0,224,8,3
274,medium,PASS,12.225,218.6,43.3,0.0,224,8,5
275,medium,PASS,14.741,258.2,51.7,0.0,224,10,3
276,medium,PASS,13.476,247.8,46.6,0.0,224,10,4
277,medium,PASS,10.717,189.6,39.4,0.045,224,10,5
278,medium,PASS,14.167,253.8,50.0,0.0,236,6,3
279,medium,PASS,13.524,239.1,44.6,0.0,236,6,4
280,medium,PASS,10.468,197.6,36.9,0.0709,236,6,5
281,medium,PASS,15.752,275.8,56.5,0.0,236,8,3
282,medium,PASS,14.631,262.1,50.9,0.0,236,8,4
283,medium,PASS,12.05,213.9,42.4,0.0001,236,8,5
284,medium,PASS,14.136,262.1,49.2,0.0,236,10,3
285,medium,PASS,13.336,236.8,45.9,0.0,236,10,4
286,medium,PASS,10.588,187.6,37.4,0.0578,236,10,5
287,fine,PASS,15.439,270.2,55.2,0.0,186,7,2
288,fine,PASS,16.339,286.3,57.1,0.0,186,7,3
289,fine,PASS,15.413,275.0,53.6,0.0,186,7,4
290,fine,PASS,15.72,277.9,54.7,0.0,186,8,2
291,fine,PASS,16.589,298.8,58.4,0.0,186,8,3
292,fine,PASS,15.447,285.8,54.4,0.0,186,8,4
293,fine,PASS,15.223,275.4,54.4,0.0,186,9,2
294,fine,PASS,16.108,295.7,57.2,0.0,186,9,3
295,fine,PASS,15.457,279.0,53.1,0.0,186,9,4
296,fine,PASS,15.216,275.4,52.5,0.0,192,7,2
297,fine,PASS,16.112,288.2,55.0,0.0,192,7,3
298,fine,PASS,15.346,272.5,53.1,0.0,192,7,4
299,fine,PASS,15.086,275.0,51.0,0.0,192,9,2
300,fine,PASS,16.04,290.0,56.8,0.0,192,9,3
301,fine,PASS,15.165,267.9,54.1,0.0,192,9,4
302,fine,PASS,15.045,266.2,53.8,0.0,198,7,2
303,fine,PASS,16.091,298.6,55.6,0.0,198,7,3
304,fine,PASS,14.966,272.9,54.0,0.0,198,7,4
305,fine,PASS,15.863,276.4,55.6,0.0,198,8,2
306,fine,PASS,16.187,294.7,58.1,0.0,198,8,3
307,fine,PASS,15.577,275.0,54.9,0.0,198,8,4
308,fine,PASS,15.071,272.3,53.1,0.0,198,9,2
309,fine,PASS,16.099,290.2,56.1,0.0,198,9,3
310,fine,PASS,15.077,272.1,53.5,0.0,198,9,4
